分類番号,食品番号,索引番号,食品名,廃棄率,エネルギー,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物(単糖当量),利用可能炭水化物質(質量系),差引き法による利用可能炭水化物,食物繊維総量,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,レチノール活性当量,ビタミンD,αトコフェロール,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
Food Group,ItemNo,IndexNo,Food and Description,Refuse,Energy (kJ),Energy (kcal),Water,"Protein, calculated as  the sum of amino acid residues","Protein, calculated from  reference nitrogen","Fatty acid, Triglyceride equivalents",Cholesterol,Lipid,"Carbohydrate, available; expressed in mono-saccharide equivalents","Carbohydrate, available; expressed","Carbohydrate, available; calculated by difference","Dietary fiber, total",polyhydric alcohol,"Carbohydrate, total, calculated by difference","Organic acids, total",Ash,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Zinc,Copper,Manganese,Iodine,Selenium,Chromium,Molybdenum,Retinol,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,beta-Carotene e
,,,unit,%,kJ,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
,,,tagnames,REFUSE,ENERC,ENERC_KCAL,WATER,PROTCAA,PROT-,FATNLEA,CHOLE,FAT-,CHOAVLM,CHOAVL,CHOAVLDF-,FIB-,POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB,TOCPHG,TOCPHD,VITK,THIA,RIBF,NIA,NE,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,ALC,NACL_EQ
groupId,foodId,indexId,tagnames,refuse,enerc,enercKcal,water,protcaa,prot,fatnlea,chole,fat,choavlm,choavl,choavldf,fib,polyl,chocdf,oa,ash,na,k,ca,mg,p,fe,zn,cu,mn,id,se,cr,mo,retol,carta,cartb,crypxb,cartbeq,vitaRae,vitD,tocphA,tocphB,tocphG,tocphD,vitK,thia,ribf,nia,ne,vitB6A,vitB12,fol,pantac,biot,vitC,alc,naclEq
